cliente_id,centro_id,fecha,hora,tipo_acceso,clase_asistida,duracion_entrenamiento_min
1,5,2026-06-20,08:00,Torniquete,,76
1,5,2026-06-24,09:00,Tarjeta,Funcional,81
1,5,2026-06-21,09:00,QR,CrossFit,84
1,5,2026-06-27,09:00,QR,,75
1,5,2026-06-20,18:00,Tarjeta,Spinning,92
1,5,2026-07-11,17:00,App,Pilates,98
2,2,2026-02-25,09:00,QR,,40
2,2,2026-05-19,09:00,QR,Yoga,54
2,2,2026-07-11,07:30,QR,CrossFit,36
2,2,2026-03-15,10:00,App,Funcional,111
2,2,2026-04-24,19:00,App,Natación,81
2,2,2026-05-16,11:00,Tarjeta,,102
2,2,2026-03-29,17:00,Torniquete,,64
2,2,2026-03-01,07:00,App,,115
2,2,2026-07-10,20:00,Torniquete,Funcional,116
2,2,2026-05-15,11:00,Tarjeta,Body Pump,101
2,2,2026-06-03,12:00,Torniquete,Boxing,52
2,2,2026-04-16,08:00,Tarjeta,CrossFit,90
2,2,2026-05-06,21:00,Torniquete,Pilates,94
2,2,2026-03-01,12:00,Tarjeta,Stretching,43
2,2,2026-06-20,08:00,App,CrossFit,51
2,2,2026-06-23,10:00,App,Body Pump,50
2,2,2026-04-07,07:30,Torniquete,Stretching,92
2,2,2026-02-23,19:00,App,Body Pump,109
2,2,2026-04-25,12:00,QR,Funcional,63
2,2,2026-05-04,12:00,QR,,57
2,2,2026-05-27,11:00,QR,Zumba,66
2,2,2026-06-23,07:30,Torniquete,,118
2,2,2026-02-26,20:00,QR,Yoga,57
2,2,2026-04-06,17:00,App,Boxing,32
2,2,2026-04-17,08:00,Torniquete,CrossFit,100
2,2,2026-02-24,07:30,App,Funcional,84
2,2,2026-03-03,10:00,Torniquete,Boxing,65
2,2,2026-03-07,07:30,QR,Natación,115
2,2,2026-06-08,08:00,Torniquete,Yoga,63
2,2,2026-03-01,09:00,App,CrossFit,71
3,5,2026-06-18,07:30,App,Funcional,51
3,5,2026-02-24,09:00,Tarjeta,Spinning,55
3,5,2026-07-12,18:00,Tarjeta,,80
3,5,2026-04-29,17:00,Tarjeta,Spinning,103
3,5,2026-07-10,12:00,Tarjeta,Natación,43
3,5,2026-02-23,09:00,Tarjeta,Natación,48
3,5,2026-02-08,11:00,Torniquete,Funcional,83
3,5,2026-03-11,21:00,Torniquete,,83
