cliente_id,visitas_ultimos_7_dias,visitas_ultimos_30_dias,visitas_ultimos_90_dias,dias_desde_ultima_visita,tendencia_asistencia,clases_reservadas_mes,clases_canceladas_mes,clases_asistidas_mes,entrenamientos_personales_mes,uso_piscina_mes,uso_spa_mes
1,2,10,31,18,Decreciente,5,0,5,0,2,0
2,0,0,0,25,Creciente,1,0,1,0,1,2
3,4,19,46,38,Decreciente,15,2,13,0,0,1
4,1,1,4,16,Decreciente,1,0,1,0,0,0
5,0,3,7,37,Decreciente,0,0,0,2,0,0
6,5,19,68,17,Creciente,16,1,15,1,0,0
7,0,6,12,29,Estable,7,1,6,1,2,0
8,1,2,12,17,Creciente,2,1,1,1,0,1
9,2,8,33,18,Estable,5,0,5,0,2,1
10,1,1,10,20,Decreciente,0,0,0,1,0,0
11,3,6,40,20,Creciente,12,1,11,0,0,0
12,0,2,14,12,Creciente,0,1,0,0,0,0
13,2,17,42,19,Decreciente,16,3,13,0,2,0
14,1,1,17,12,Decreciente,0,4,0,0,1,1
15,4,21,53,8,Estable,16,0,16,0,3,0
16,0,0,5,56,Decreciente,0,2,0,1,1,2
17,2,6,24,23,Estable,4,2,2,2,0,1
18,3,15,45,22,Creciente,11,1,10,0,0,0
19,5,14,47,0,Estable,16,3,13,0,4,0
20,1,6,28,15,Estable,9,0,9,1,3,1
21,2,8,42,26,Decreciente,7,0,7,0,4,0
22,1,11,33,18,Creciente,9,0,9,1,0,1
23,2,2,8,21,Estable,4,1,3,1,4,0
24,1,8,12,17,Estable,7,0,7,0,0,1
25,3,15,44,6,Estable,15,4,11,0,1,2
26,4,15,43,20,Creciente,11,3,8,3,1,0
27,1,11,35,22,Estable,6,0,6,2,0,0
28,0,2,6,15,Decreciente,0,0,0,0,5,1
29,1,13,30,26,Estable,12,2,10,0,2,0
30,1,2,8,0,Estable,0,0,0,0,0,1
31,1,2,21,19,Creciente,4,0,4,0,0,0
32,2,13,44,11,Creciente,12,3,9,0,2,1
33,1,9,37,21,Estable,6,0,6,0,0,0
34,0,6,17,15,Decreciente,2,1,1,1,5,0
35,2,16,22,7,Decreciente,13,0,13,0,1,0
36,3,12,21,10,Estable,6,3,3,2,2,0
37,1,2,12,14,Estable,1,0,1,0,2,2
38,0,0,3,34,Decreciente,0,0,0,0,1,0
39,2,9,24,22,Estable,4,0,4,1,0,0
40,5,15,44,11,Estable,8,0,8,0,0,1
41,2,19,43,33,Creciente,11,0,11,0,1,0
42,2,15,36,0,Decreciente,10,0,10,1,2,1
43,1,5,29,31,Decreciente,4,0,4,1,0,0
44,3,7,27,19,Decreciente,12,2,10,1,0,0
45,3,12,32,12,Decreciente,9,0,9,1,0,0
46,0,6,6,13,Creciente,6,5,1,1,1,1
