cliente_id,num_tickets,tipo_incidencia_principal,incidencias_abiertas,tiempo_medio_resolucion_dias,ultima_incidencia,reclamaciones
1,3,Otros,0,1.7,2025-08-23,1
2,3,Incidencia con entrenador,0,1.2,2025-08-30,0
3,0,,0,,,0
4,1,Cambio de plan,0,4.2,2025-08-18,0
5,1,Problema con tarjeta de acceso,1,2.4,2026-03-02,0
6,0,,0,,,0
7,3,Problema con reserva de clase,0,4.2,2025-12-03,2
8,0,,0,,,0
9,0,,0,,,0
10,2,Cambio de plan,0,2.1,2026-01-21,1
11,2,Solicitud de congelación,2,3.7,2025-11-09,1
12,1,Problema con reserva de clase,0,2.7,2026-01-20,0
13,1,Problema con tarjeta de acceso,0,3.2,2025-09-29,0
14,1,Otros,0,3.5,2026-03-26,0
15,1,Problema con tarjeta de acceso,0,3.8,2025-09-09,0
16,2,Incidencia con entrenador,0,3.6,2026-02-17,0
17,0,,0,,,0
18,1,Queja instalaciones,1,0.8,2026-03-21,0
19,0,,0,,,0
20,0,,0,,,0
21,1,Cambio de plan,0,2.1,2026-02-12,1
22,2,Problema con reserva de clase,1,2.8,2025-11-27,1
23,0,,0,,,0
24,4,Problema con reserva de clase,0,2.0,2025-11-19,0
25,1,Otros,1,2.1,2026-06-29,0
26,2,Problema con reserva de clase,0,2.2,2025-07-14,0
27,1,Error en factura,1,1.4,2025-08-13,0
28,2,Problema con tarjeta de acceso,1,3.2,2025-11-28,0
29,0,,0,,,0
30,1,Problema con tarjeta de acceso,0,3.7,2025-11-24,1
31,3,Error en factura,0,2.8,2026-05-27,0
32,2,Problema con tarjeta de acceso,0,3.4,2025-10-12,1
33,3,Cambio de plan,0,2.9,2025-11-20,0
34,1,Error en factura,0,1.6,2026-01-05,0
35,3,Problema con reserva de clase,0,3.4,2025-11-28,0
36,1,Incidencia con entrenador,0,3.7,2025-10-03,1
37,2,Otros,1,3.2,2025-12-03,1
38,3,Problema con tarjeta de acceso,0,3.8,2025-08-02,0
39,2,Cambio de plan,0,1.7,2026-02-24,0
40,0,,0,,,0
41,0,,0,,,0
42,0,,0,,,0
43,0,,0,,,0
44,2,Queja instalaciones,0,2.7,2025-12-31,0
45,0,,0,,,0
46,4,Problema con reserva de clase,0,4.6,2025-09-16,1
47,0,,0,,,0
48,4,Otros,0,2.4,2026-02-15,1
49,2,Incidencia con entrenador,1,5.4,2026-06-29,0
50,1,Incidencia con entrenador,0,2.5,2025-07-10,0
51,0,,0,,,0
52,4,Solicitud de congelación,0,2.1,2025-11-01,0
53,0,,0,,,0
54,2,Incidencia con entrenador,0,2.4,2025-07-08,0
55,0,,0,,,0
56,0,,0,,,0
57,3,Cambio de plan,1,3.1,2026-04-07,0
58,3,Otros,0,2.2,2025-07-13,1
59,1,Otros,0,3.5,2025-09-10,0
60,1,Queja instalaciones,0,5.0,2026-05-05,1
61,0,,0,,,0
62,2,Cambio de plan,1,2.4,2026-06-20,2
63,4,Queja instalaciones,1,1.7,2025-07-23,0
64,1,Solicitud de congelación,1,5.5,2025-10-05,0
65,0,,0,,,0
66,1,Incidencia con entrenador,0,5.7,2025-11-30,0
67,1,Queja instalaciones,0,0.5,2025-12-27,0
68,3,Cambio de plan,1,2.8,2025-08-19,0
69,0,,0,,,0
70,3,Problema con reserva de clase,0,2.3,2026-03-02,0
71,1,Otros,0,2.4,2025-12-11,1
72,0,,0,,,0
73,0,,0,,,0
74,3,Otros,1,1.9,2026-06-11,1
75,2,Problema con reserva de clase,1,3.3,2026-03-16,0
76,2,Problema con tarjeta de acceso,0,3.4,2026-05-25,0
77,3,Problema con tarjeta de acceso,1,3.8,2026-04-26,1
78,5,Solicitud de baja,0,1.9,2025-09-29,3
79,0,,0,,,0
80,0,,0,,,0
81,1,Problema con reserva de clase,0,1.8,2025-08-29,0
82,0,,0,,,0
83,1,Solicitud de congelación,0,2.9,2026-07-07,0
84,1,Cambio de plan,1,1.7,2025-12-31,1
85,1,Queja instalaciones,0,1.5,2025-07-10,1
86,0,,0,,,0
87,2,Solicitud de baja,0,1.6,2025-11-06,0
88,0,,0,,,0
89,1,Problema con tarjeta de acceso,1,3.7,2026-03-19,0
90,1,Problema con reserva de clase,0,2.4,2026-03-30,0
91,1,Problema con reserva de clase,0,3.3,2026-03-19,0
92,0,,0,,,0
93,1,Cambio de plan,0,2.6,2025-08-20,0
94,1,Cambio de plan,0,3.6,2025-12-13,0
95,2,Otros,1,3.4,2026-03-04,1
96,3,Solicitud de congelación,0,2.5,2026-05-15,0
97,0,,0,,,0
98,1,Otros,0,4.7,2026-03-29,0
99,1,Solicitud de congelación,0,3.9,2025-12-30,0
100,3,Solicitud de baja,0,2.4,2026-06-13,1
101,2,Solicitud de baja,1,2.4,2026-03-17,0
102,2,Error en factura,1,4.3,2026-01-06,0
103,1,Solicitud de baja,0,1.9,2025-11-13,0
104,0,,0,,,0
105,0,,0,,,0
106,2,Problema con reserva de clase,0,3.2,2026-04-29,1
107,0,,0,,,0
108,0,,0,,,0
109,0,,0,,,0
110,0,,0,,,0
111,0,,0,,,0
112,1,Problema con reserva de clase,0,4.3,2026-03-04,0
113,3,Problema con reserva de clase,0,1.8,2026-06-16,0
114,5,Otros,0,4.4,2025-08-27,0
115,1,Otros,1,4.9,2025-10-27,1
116,3,Cambio de plan,0,2.7,2025-10-27,0
117,4,Incidencia con entrenador,0,2.3,2025-08-09,0
118,3,Solicitud de congelación,0,2.6,2026-02-11,0
119,1,Otros,0,3.4,2026-01-07,0
120,0,,0,,,0
121,1,Solicitud de congelación,0,2.7,2025-11-21,0
122,2,Solicitud de baja,0,4.4,2026-06-23,0
123,1,Solicitud de congelación,1,1.0,2025-11-06,0
124,1,Problema con reserva de clase,0,1.2,2026-02-13,0
125,0,,0,,,0
126,3,Problema con tarjeta de acceso,1,3.5,2026-02-22,0
127,0,,0,,,0
128,1,Queja instalaciones,0,4.8,2025-12-04,1
129,3,Solicitud de baja,0,3.1,2026-01-07,1
130,1,Error en factura,1,3.5,2026-03-27,1
131,2,Cambio de plan,1,3.8,2026-05-23,0
132,0,,0,,,0
133,0,,0,,,0
134,0,,0,,,0
135,1,Error en factura,0,1.7,2026-03-23,0
136,2,Solicitud de congelación,0,4.3,2026-06-07,1
