cliente_id,emails_enviados,emails_abiertos,ctr_emails,sms_enviados,sms_abiertos,push_notifications_abiertas,ultima_interaccion_hace_dias,campanas_recibidas,campanas_convertidas
1,36,0,0.022,12,6,8,51,5,0
2,24,6,0.047,5,2,5,34,9,1
3,7,2,0.035,8,3,7,13,2,0
4,30,7,0.046,4,2,5,1,3,0
5,9,2,0.032,2,1,0,22,2,0
6,45,16,0.069,13,8,12,13,12,1
7,48,8,0.024,13,6,3,46,2,0
8,37,13,0.071,10,4,9,5,12,1
9,6,0,0.044,17,8,4,1,8,0
10,35,7,0.017,15,7,9,35,1,0
11,28,6,0.012,4,2,7,53,6,1
12,48,23,0.099,11,7,9,48,11,1
13,21,4,0.044,2,0,5,51,3,1
14,25,1,0.018,19,11,6,4,4,0
15,32,7,0.028,17,12,3,39,6,1
16,7,2,0.028,7,2,3,51,12,1
17,21,4,0.044,4,2,12,28,9,0
18,45,14,0.042,11,4,8,2,1,0
19,49,13,0.037,5,2,12,3,9,1
20,47,18,0.085,14,6,13,27,11,1
21,47,19,0.037,17,6,7,37,7,0
22,37,2,0.037,4,1,9,9,11,1
23,39,10,0.067,12,5,5,21,12,1
24,22,8,0.019,11,5,4,26,8,0
25,41,18,0.05,5,2,11,23,6,0
26,22,6,0.09,12,5,8,38,10,2
27,23,6,0.051,4,1,2,47,4,0
28,17,1,0.031,18,11,7,24,11,2
29,25,9,0.074,15,9,14,1,3,0
30,30,10,0.035,7,2,10,24,9,1
31,11,2,0.039,11,7,9,1,9,1
32,25,9,0.044,15,8,5,21,5,0
33,45,5,0.01,16,8,6,45,10,0
34,35,13,0.06,10,5,8,38,4,0
35,30,8,0.062,14,9,12,18,3,0
36,28,6,0.033,13,4,8,11,7,1
37,33,9,0.033,19,8,12,24,2,0
38,23,8,0.017,1,0,2,36,2,0
39,49,10,0.032,1,0,4,19,6,0
40,13,4,0.071,17,10,7,16,6,1
41,40,15,0.013,13,4,13,25,7,0
42,33,7,0.04,5,3,11,1,11,1
43,22,3,0.027,18,5,6,62,10,0
44,23,8,0.057,19,15,5,17,6,0
45,6,2,0.071,1,0,9,15,11,2
46,19,6,0.046,20,12,2,41,6,0
47,9,3,0.062,15,9,8,5,3,0
48,48,15,0.046,16,5,5,1,8,0
49,14,0,0.034,7,1,8,45,5,0
50,46,8,0.064,4,1,11,13,6,0
51,23,7,0.086,16,8,12,24,2,0
52,13,3,0.046,6,1,3,15,10,0
53,10,4,0.054,2,0,7,12,9,1
54,34,8,0.065,15,6,11,13,3,0
55,27,4,0.036,11,4,4,44,10,1
56,7,1,0.071,16,10,3,13,11,1
57,40,12,0.053,1,0,7,12,8,1
58,16,6,0.05,6,1,8,34,10,2
59,16,7,0.027,10,5,8,59,4,0
60,31,13,0.0,13,6,1,20,4,0
61,40,9,0.041,5,2,11,42,9,1
62,18,2,0.078,8,2,7,20,8,0
63,19,6,0.056,7,4,5,28,8,1
64,44,11,0.03,14,4,3,26,10,1
65,16,4,0.051,10,5,15,1,8,1
66,12,3,0.069,10,6,12,47,3,0
67,14,6,0.049,3,1,10,16,1,0
68,40,7,0.029,1,0,6,30,8,0
69,38,4,0.044,14,7,10,14,6,0
70,47,12,0.044,20,6,7,26,1,0
71,17,9,0.044,7,4,4,42,10,0
72,25,9,0.053,5,3,7,1,2,0
73,6,2,0.016,5,2,3,6,1,0
74,10,2,0.063,20,11,4,51,1,0
75,41,7,0.052,6,2,4,19,7,0
76,8,1,0.023,3,1,10,2,8,0
77,31,3,0.041,1,0,9,33,7,0
78,30,12,0.059,1,0,8,21,11,1
79,38,11,0.0,6,3,5,27,4,0
80,32,9,0.057,0,0,6,31,9,0
81,11,4,0.077,5,3,11,15,11,0
82,38,14,0.059,0,0,7,30,7,1
83,13,5,0.043,6,2,4,53,2,0
84,46,25,0.046,18,9,8,9,1,0
85,11,3,0.068,4,2,12,6,6,1
86,29,5,0.081,6,3,5,51,3,0
87,6,2,0.06,1,0,9,28,8,1
88,22,8,0.05,1,0,8,41,10,1
89,6,1,0.041,9,1,4,45,3,0
90,48,14,0.041,9,5,8,34,7,1
91,36,4,0.028,14,5,12,21,8,1
92,42,6,0.0,11,5,13,30,2,0
93,13,4,0.028,13,7,7,32,9,1
94,12,3,0.043,13,6,7,3,2,0
95,36,12,0.059,17,8,6,28,2,0
96,14,1,0.013,3,1,5,26,1,0
97,31,5,0.041,14,6,3,60,5,0
98,28,15,0.037,15,7,14,24,1,0
99,6,1,0.038,17,10,4,1,10,2
100,21,5,0.044,17,10,8,4,4,0
101,43,6,0.063,14,9,5,36,3,0
102,10,2,0.039,7,3,1,37,5,0
103,30,8,0.05,10,5,8,22,8,1
104,42,8,0.046,8,5,9,18,9,2
105,9,3,0.018,20,9,3,15,12,3
106,9,2,0.054,8,3,5,25,10,1
107,36,14,0.036,19,8,7,19,8,1
108,42,9,0.043,13,5,9,24,7,1
109,11,3,0.059,1,0,7,26,6,1
110,32,12,0.074,16,7,4,1,10,0
111,33,11,0.041,8,5,12,33,1,0
112,18,2,0.041,17,8,5,11,11,2
113,47,11,0.02,20,10,14,34,2,0
114,20,2,0.051,19,5,2,69,8,0
115,14,3,0.027,14,8,4,21,5,0
116,47,3,0.035,2,1,5,44,3,0
117,15,3,0.014,11,3,5,39,9,3
118,28,6,0.035,5,2,5,24,6,0
119,35,5,0.002,5,2,3,54,2,0
120,46,7,0.0,16,9,4,7,10,0
121,47,3,0.058,4,1,7,1,8,0
122,47,8,0.019,18,5,8,43,10,2
123,32,11,0.053,15,9,4,33,12,2
124,40,9,0.039,12,5,12,1,11,2
125,47,9,0.025,20,11,7,18,10,1
126,29,6,0.048,8,4,5,29,3,0
127,9,2,0.052,10,6,10,25,4,0
128,45,8,0.056,4,3,7,48,5,0
129,39,6,0.06,7,2,3,30,8,1
130,14,5,0.029,14,5,4,72,2,0
131,24,14,0.075,3,1,5,20,10,0
132,45,20,0.0,6,3,7,22,1,0
133,26,7,0.048,8,3,8,18,12,2
134,6,2,0.034,8,4,4,17,7,1
135,25,5,0.015,9,4,14,1,8,2
136,35,15,0.01,2,0,5,30,9,2
137,45,17,0.046,0,0,4,22,2,0
138,33,8,0.064,3,1,1,3,11,0
139,29,11,0.029,19,7,3,51,10,0
140,30,6,0.012,9,4,5,22,2,0
141,25,5,0.052,10,4,6,35,10,1
142,48,18,0.078,15,9,8,49,1,0
143,27,11,0.061,13,7,7,24,9,0
144,30,10,0.065,13,9,8,27,6,1
145,28,5,0.025,0,0,7,26,3,0
146,24,3,0.037,5,3,9,46,5,0
147,40,9,0.03,13,9,10,18,5,0
148,25,6,0.056,14,6,14,1,5,0
149,25,9,0.039,16,8,7,42,6,1
150,21,6,0.0,4,2,5,12,1,0
151,11,2,0.049,19,6,12,64,7,1
152,15,5,0.037,4,1,16,21,8,0
153,49,12,0.028,4,2,3,16,3,0
154,22,6,0.036,11,7,5,21,9,1
155,45,13,0.052,17,11,9,1,12,2
156,36,9,0.029,2,0,8,62,1,0
157,22,0,0.065,13,7,2,9,3,0
158,12,3,0.03,16,6,10,50,7,0
159,27,6,0.012,17,10,9,43,6,0
160,21,6,0.033,4,2,9,33,5,0
161,28,9,0.0,8,4,7,22,6,0
162,23,5,0.025,4,2,3,35,4,0
163,14,7,0.014,9,4,2,28,11,0
164,44,10,0.0,14,4,8,33,5,0
165,46,6,0.009,15,7,7,46,11,0
166,15,6,0.009,11,5,5,38,10,2
167,29,14,0.036,8,3,12,37,4,0
168,25,4,0.003,4,1,10,48,5,0
169,5,2,0.058,20,11,5,7,8,0
170,37,9,0.086,13,6,9,18,6,2
171,21,5,0.047,17,9,10,23,10,1
172,44,13,0.069,17,10,9,10,12,0
173,47,8,0.059,3,1,8,17,9,1
174,29,9,0.014,13,7,6,35,12,0
175,43,22,0.057,10,2,6,44,8,0
176,48,17,0.059,1,0,2,38,7,1
177,50,17,0.065,6,3,5,1,4,0
178,20,4,0.031,3,1,5,23,3,0
179,41,12,0.054,16,10,5,12,3,0
180,12,4,0.048,5,2,15,39,7,1
181,34,6,0.035,0,0,4,35,11,0
182,35,10,0.035,17,10,9,1,5,1
183,8,2,0.036,17,8,10,21,10,3
184,37,10,0.005,8,2,9,40,4,0
185,25,5,0.077,18,7,11,28,12,1
186,6,0,0.052,5,3,8,18,12,2
187,42,4,0.062,10,6,6,1,11,2
188,29,8,0.049,0,0,7,1,12,3
189,10,1,0.0,7,3,5,26,7,1
190,44,13,0.0,8,3,1,44,9,0
191,17,2,0.05,9,3,6,25,7,0
192,15,2,0.053,0,0,6,12,11,1
193,41,16,0.062,20,8,9,6,10,2
194,32,7,0.046,2,0,0,74,3,0
195,6,2,0.042,11,3,10,1,3,0
196,29,16,0.045,17,10,3,45,3,0
197,9,2,0.014,16,5,12,26,12,1
198,10,2,0.035,9,4,9,34,11,2
199,40,12,0.047,18,8,8,24,10,2
200,35,8,0.068,14,9,10,47,12,2
201,28,7,0.047,17,7,8,5,6,0
202,32,8,0.023,18,10,10,20,12,2
203,41,19,0.049,2,1,7,12,5,0
204,8,2,0.051,4,2,15,28,9,1
205,44,11,0.078,8,5,9,1,9,1
206,16,5,0.057,14,7,10,5,9,1
207,28,9,0.041,11,7,5,25,2,0
208,41,9,0.032,5,2,0,65,2,0
209,25,7,0.047,1,0,4,39,1,0
210,41,12,0.045,14,8,8,24,8,1
211,21,8,0.015,20,11,8,40,6,0
212,49,10,0.073,4,2,3,15,4,0
213,31,6,0.065,8,5,6,1,10,2
214,37,21,0.022,6,3,3,42,12,3
215,9,3,0.039,4,1,9,28,3,0
216,9,1,0.042,11,4,8,38,3,0
217,31,7,0.043,8,5,8,12,10,0
218,40,12,0.07,8,5,2,10,3,0
