cliente_id,plan_contratado,precio_plan,entrenador_personal,nutricionista,spa,piscina,clases_premium,servicios_adicionales,num_compras_adicionales,importe_total_compras
1,Solo Clases,34.99,True,True,False,False,False,Ninguno,0,0.0
2,Premium,64.99,False,False,False,False,False,Ninguno,4,224.23
3,Básico,29.99,False,True,False,True,False,Ninguno,1,59.88
4,Premium,64.99,True,True,False,False,False,Toalla,5,393.5
5,VIP,99.99,True,False,False,True,True,Toalla,0,0.0
6,Solo Clases,34.99,True,False,False,True,True,Parking,0,0.0
7,Básico,29.99,True,False,False,True,False,Parking + Taquilla,2,79.99
8,Básico,29.99,False,False,False,False,False,Taquilla + Toalla,5,121.53
9,Solo Clases,34.99,True,True,True,False,False,Parking + Taquilla,6,390.53
10,Estándar,44.99,False,True,False,True,True,Taquilla,3,207.86
11,Estándar,44.99,False,True,True,False,True,Parking + Taquilla,1,25.57
12,Acceso Total,79.99,True,False,False,True,False,Taquilla + Toalla,4,59.6
13,Básico,29.99,False,False,False,True,True,Taquilla,3,79.63
14,Premium,64.99,False,False,False,True,False,Taquilla,4,209.64
15,Básico,29.99,True,False,True,False,True,Toalla,1,37.88
16,Estándar,44.99,False,False,False,True,True,Taquilla + Toalla,4,45.55
17,VIP,99.99,True,True,False,False,True,Toalla,0,0.0
18,Estándar,44.99,False,False,False,False,False,Parking + Taquilla,4,171.39
19,Acceso Total,79.99,False,False,True,False,True,Taquilla + Toalla,3,233.8
20,Premium,64.99,False,False,False,True,False,Ninguno,3,238.42
21,Estándar,44.99,False,True,True,True,True,Toalla,5,228.36
22,Básico,29.99,False,False,True,True,True,Parking + Taquilla,5,136.38
23,Estándar,44.99,False,False,False,True,False,Parking,0,0.0
24,Estándar,44.99,True,False,False,True,True,Ninguno,2,36.34
25,Básico,29.99,False,False,True,False,True,Taquilla + Toalla,5,108.04
26,Estándar,44.99,False,False,False,False,True,Parking,4,126.23
27,Estándar,44.99,True,False,False,True,False,Taquilla,0,0.0
28,VIP,99.99,False,True,True,False,False,Taquilla + Toalla,4,40.44
29,Premium,64.99,False,False,True,False,False,Parking + Taquilla,5,97.02
30,VIP,99.99,False,False,False,True,False,Taquilla,3,42.39
31,Básico,29.99,False,True,False,True,True,Parking + Taquilla,4,86.52
32,Estándar,44.99,False,False,False,False,True,Taquilla + Toalla,5,219.82
33,Premium,64.99,False,True,True,True,False,Taquilla,2,93.13
34,Premium,64.99,False,False,True,True,True,Taquilla + Toalla,2,125.97
35,Básico,29.99,True,False,False,False,False,Taquilla + Toalla,1,36.49
36,VIP,99.99,False,False,False,False,False,Parking + Taquilla,1,38.13
37,VIP,99.99,False,False,False,True,True,Taquilla,4,143.16
38,Estándar,44.99,False,False,False,False,False,Parking + Taquilla,0,0.0
39,Básico,29.99,False,False,True,False,False,Parking,2,87.84
40,VIP,99.99,True,True,False,True,True,Taquilla + Toalla,2,158.16
41,Premium,64.99,True,False,False,False,True,Parking,5,324.7
42,VIP,99.99,True,False,False,False,True,Parking,0,0.0
43,Premium,64.99,True,False,False,False,False,Parking + Taquilla,0,0.0
44,VIP,99.99,False,True,False,True,False,Taquilla + Toalla,3,190.92
45,Premium,64.99,False,True,False,False,True,Parking + Taquilla,2,88.87
46,Básico,29.99,True,False,False,True,True,Ninguno,3,165.24
47,VIP,99.99,True,False,False,True,True,Taquilla,0,0.0
48,Premium,64.99,False,False,False,True,True,Parking + Taquilla,4,303.76
49,VIP,99.99,False,False,True,False,True,Taquilla,0,0.0
50,Estándar,44.99,True,False,False,True,True,Parking,2,112.92
51,Básico,29.99,False,True,False,True,False,Taquilla,1,44.99
52,Solo Clases,34.99,False,False,False,True,True,Parking + Taquilla,1,12.4
53,VIP,99.99,True,False,True,True,True,Taquilla,1,44.65
54,Solo Clases,34.99,True,False,True,False,True,Taquilla,4,277.46
55,VIP,99.99,True,True,True,True,True,Toalla,3,236.72
56,Premium,64.99,True,True,True,False,False,Parking + Taquilla,2,86.28
57,VIP,99.99,False,False,False,True,True,Parking,1,37.56
58,Solo Clases,34.99,False,False,False,True,True,Parking + Taquilla,3,93.86
59,Premium,64.99,False,False,True,False,True,Taquilla,0,0.0
60,Premium,64.99,False,False,False,True,True,Taquilla,0,0.0
61,Estándar,44.99,False,False,False,False,True,Ninguno,5,393.1
62,Estándar,44.99,True,False,True,True,False,Ninguno,1,18.32
63,VIP,99.99,False,False,True,True,True,Parking + Taquilla,0,0.0
64,Estándar,44.99,True,True,True,False,True,Toalla,3,32.44
65,Estándar,44.99,True,True,False,True,True,Taquilla + Toalla,3,87.48
66,Estándar,44.99,True,True,False,False,True,Taquilla + Toalla,2,61.77
67,Estándar,44.99,True,True,False,False,True,Taquilla + Toalla,3,146.77
68,Básico,29.99,False,False,False,False,False,Parking + Taquilla,2,134.64
69,Premium,64.99,False,False,False,True,True,Ninguno,0,0.0
70,Solo Clases,34.99,True,False,False,False,False,Parking,0,0.0
71,Premium,64.99,False,False,True,False,True,Parking + Taquilla,2,20.01
72,Estándar,44.99,False,True,False,True,True,Taquilla + Toalla,2,39.58
73,Básico,29.99,True,True,False,False,True,Parking + Taquilla,0,0.0
74,VIP,99.99,False,False,False,True,True,Parking,2,97.29
75,Estándar,44.99,True,False,False,False,True,Taquilla,1,38.0
76,Solo Clases,34.99,False,False,False,True,True,Ninguno,1,54.07
77,Premium,64.99,False,False,False,True,False,Taquilla,1,39.38
78,VIP,99.99,False,True,False,False,True,Ninguno,4,115.64
